gameId,nationality,teamId,shortCode,ID,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,10+ ppg,MP,opp_gameId,opp_nationality,opp_teamId,opp_shortCode,opp_ID,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO,opp_10+ ppg,opp_MP
126787,Dominican Republic,51,DOM,1,8,4,27,22,49,11,58,14,24.1,20,6,30.0,78,20,25.6,14,7,50.0,40,11,27.5,12,53,8,12,3,200.0,126787,Colombia,40,COL,1,23,8,39,17,56,12,45,19,42.2,31,12,38.7,76,31,40.8,9,7,77.8,31,14,45.2,11,81,4,15,4,200.0
126787,Colombia,40,COL,2,23,8,39,17,56,12,45,19,42.2,31,12,38.7,76,31,40.8,9,7,77.8,31,14,45.2,11,81,4,15,4,200.0,126787,Dominican Republic,51,DOM,2,8,4,27,22,49,11,58,14,24.1,20,6,30.0,78,20,25.6,14,7,50.0,40,11,27.5,12,53,8,12,3,200.0
126788,Brazil,27,BRA,1,35,5,33,9,42,23,39,24,61.5,21,11,52.4,60,35,58.3,33,27,81.8,33,20,60.6,17,108,8,6,4,200.0,126788,Argentina,14,ARG,1,15,0,17,8,25,17,45,17,37.8,20,6,30.0,65,23,35.4,18,16,88.9,33,11,33.3,23,68,4,11,2,200.0
126788,Argentina,14,ARG,2,15,0,17,8,25,17,45,17,37.8,20,6,30.0,65,23,35.4,18,16,88.9,33,11,33.3,23,68,4,11,2,200.0,126788,Brazil,27,BRA,2,35,5,33,9,42,23,39,24,61.5,21,11,52.4,60,35,58.3,33,27,81.8,33,20,60.6,17,108,8,6,4,200.0
126789,USA,154,USA,1,8,10,32,10,42,18,53,20,37.7,12,3,25.0,65,23,35.4,20,16,80.0,40,19,47.5,10,65,17,19,3,200.0,126789,Canada,34,CAN,1,11,6,33,20,53,10,60,17,28.3,14,2,14.3,74,19,25.7,13,13,100.0,40,11,27.5,19,53,9,23,1,200.0
126789,Canada,34,CAN,2,11,6,33,20,53,10,60,17,28.3,14,2,14.3,74,19,25.7,13,13,100.0,40,11,27.5,19,53,9,23,1,200.0,126789,USA,154,USA,2,8,10,32,10,42,18,53,20,37.7,12,3,25.0,65,23,35.4,20,16,80.0,40,19,47.5,10,65,17,19,3,200.0
126790,Mexico,104,MEX,1,27,4,42,18,60,13,43,21,48.8,35,11,31.4,78,32,41.0,12,9,75.0,36,19,52.8,8,84,8,17,3,200.0,126790,Dominican Republic,51,DOM,1,17,2,28,14,42,8,49,17,34.7,30,6,20.0,79,23,29.1,6,2,33.3,41,16,39.0,13,54,9,14,1,200.0
126790,Dominican Republic,51,DOM,2,17,2,28,14,42,8,49,17,34.7,30,6,20.0,79,23,29.1,6,2,33.3,41,16,39.0,13,54,9,14,1,200.0,126790,Mexico,104,MEX,2,27,4,42,18,60,13,43,21,48.8,35,11,31.4,78,32,41.0,12,9,75.0,36,19,52.8,8,84,8,17,3,200.0
126791,Puerto Rico,125,PUR,1,14,2,25,14,39,13,47,19,40.4,26,7,26.9,73,26,35.6,10,6,60.0,35,14,40.0,21,65,12,6,4,200.0,126791,Colombia,40,COL,1,19,2,34,13,47,20,38,19,50.0,22,7,31.8,60,26,43.3,23,17,73.9,27,15,55.6,13,76,3,13,4,200.0
126791,Colombia,40,COL,2,19,2,34,13,47,20,38,19,50.0,22,7,31.8,60,26,43.3,23,17,73.9,27,15,55.6,13,76,3,13,4,200.0,126791,Puerto Rico,125,PUR,2,14,2,25,14,39,13,47,19,40.4,26,7,26.9,73,26,35.6,10,6,60.0,35,14,40.0,21,65,12,6,4,200.0
126792,Argentina,14,ARG,1,17,2,37,6,43,23,43,17,39.5,34,11,32.4,77,28,36.4,17,8,47.1,32,13,40.6,25,75,8,12,3,250.0,126792,Canada,34,CAN,1,17,4,46,18,64,24,41,15,36.6,32,9,28.1,73,24,32.9,31,19,61.3,31,13,41.9,23,76,8,19,3,250.0
126792,Canada,34,CAN,2,17,4,46,18,64,24,41,15,36.6,32,9,28.1,73,24,32.9,31,19,61.3,31,13,41.9,23,76,8,19,3,250.0,126792,Argentina,14,ARG,2,17,2,37,6,43,23,43,17,39.5,34,11,32.4,77,28,36.4,17,8,47.1,32,13,40.6,25,75,8,12,3,250.0
126793,Brazil,27,BRA,1,20,4,25,10,35,24,38,17,44.7,22,7,31.8,60,24,40.0,35,29,82.9,32,13,40.6,24,84,9,17,3,200.0,126793,USA,154,USA,1,18,4,27,19,46,24,55,27,49.1,19,3,15.8,74,30,40.5,32,29,90.6,46,23,50.0,25,92,13,11,3,200.0
126793,USA,154,USA,2,18,4,27,19,46,24,55,27,49.1,19,3,15.8,74,30,40.5,32,29,90.6,46,23,50.0,25,92,13,11,3,200.0,126793,Brazil,27,BRA,2,20,4,25,10,35,24,38,17,44.7,22,7,31.8,60,24,40.0,35,29,82.9,32,13,40.6,24,84,9,17,3,200.0
