date,award,emoji,desc,name,team,gameId,stat_val
2025-07-05,Ice Cold,🧊,Lowest FG% (min 4 att),Brianna Jones,PUR,126786,0.0
2025-07-05,Rain Maker,🌧️,Most above-break 3s made,Bella Nascimento,BRA,126788,5.0
2025-07-05,Corner Pocket,📐,Most corner 3s made,Mariana Valenzuela,MEX,126786,2.0
2025-07-05,Juggernaut,🚂,Most shots made at rim,Yuliany Paz,COL,126787,6.0
2025-07-05,Surgical,🔬,Most mid-range makes,Myriam Lara,MEX,126786,2.0
2025-07-05,Speed Demon,💨,Most fast-break points,Trinity San Antonio,PUR,126786,6.0
2025-07-05,Glass Cleaner,🪟,Most total rebounds,Yuliany Paz,COL,126787,13.0
2025-07-05,Ball Hawk,🦅,Most steals,Trinity San Antonio,PUR,126786,4.0
2025-07-05,Cleanup Crew,🧹,Most putback points,Giocelis Reynoso,DOM,126787,6.0
2025-07-05,Contact Artist,🎯,Most fouls drawn,Arella Guirantes,PUR,126786,7.0
2025-07-05,Hacker,🪓,Most personal fouls committed,Mayra Gil,MEX,126786,5.0
2025-07-05,Facilitator,🎁,Most assists,Cacá Martins,BRA,126788,9.0
2025-07-05,Hot Potato,🥔,Most turnovers,Mikayla Blakes,USA,126789,5.0
2025-07-06,MVP,🏆,Highest total Net Pts,Mariana Valenzuela,MEX,126790,26.0
2025-07-06,LVP,💀,Lowest total Net Pts,Giocelis Reynoso,DOM,126790,-22.0
2025-07-06,Heater,🔥,Highest Offensive Net Pts,Grace Van Slooten,USA,126793,13.7
2025-07-06,Off Night,🌑,Lowest Offensive Net Pts,Giocelis Reynoso,DOM,126790,-19.4
2025-07-06,Stopper,🛡️,Highest Defensive Net Pts,Mariana Valenzuela,MEX,126790,22.9
2025-07-06,BBQ,🔥🥩,Lowest Defensive Net Pts,Aline Moura,BRA,126793,-15.2
2025-07-06,Spark Plug,⚡,Best Net Pts off bench,Mariana Valenzuela,MEX,126790,26.0
2025-07-06,Ice Cold,🧊,Lowest FG% (min 4 att),Yohanna Morton,DOM,126790,0.0
2025-07-06,Rain Maker,🌧️,Most above-break 3s made,Syla Swords,CAN,126792,4.0
2025-07-06,Corner Pocket,📐,Most corner 3s made,Macarena D'urso,ARG,126792,3.0
2025-07-06,Juggernaut,🚂,Most shots made at rim,Mikayla Blakes,USA,126793,6.0
2025-07-06,Surgical,🔬,Most mid-range makes,Damiris Dantas,BRA,126793,4.0
2025-07-06,Speed Demon,💨,Most fast-break points,Mikayla Blakes,USA,126793,6.0
2025-07-06,Glass Cleaner,🪟,Most total rebounds,Mariana Valenzuela,MEX,126790,17.0
2025-07-06,Ball Hawk,🦅,Most steals,Mya Hollingshed,PUR,126791,6.0
2025-07-06,Cleanup Crew,🧹,Most putback points,Yuliany Paz,COL,126791,4.0
2025-07-06,Contact Artist,🎯,Most fouls drawn,Damiris Dantas,BRA,126793,12.0
2025-07-06,Hacker,🪓,Most personal fouls committed,Kayla Alexander,CAN,126792,5.0
2025-07-06,Facilitator,🎁,Most assists,Manuela Rios,COL,126791,10.0
2025-07-06,Hot Potato,🥔,Most turnovers,Melisa Gretter,ARG,126792,5.0
